Episode;Step;Action;Action type;Reward
0;1;6;Random;0.0
0;2;0;Model;2.0
0;3;0;Random;3.0
0;4;9;Model;-1.0
0;5;6;Random;-2.0
0;6;0;Random;3.0
0;7;9;Model;-2.0
0;8;9;Model;2.0
0;9;3;Random;3.0
0;10;5;Random;-1.5
0;11;1;Random;0.0
0;12;8;Random;0.0
0;13;9;Model;0.5
0;14;8;Random;0.0
0;15;0;Model;-0.5
0;16;1;Random;0.0
0;17;8;Random;0.5
0;18;0;Random;0.0
0;19;3;Random;-0.5
0;20;1;Random;0.5
0;21;7;Random;0.0
0;22;0;Model;-0.5
0;23;2;Random;0.0
0;24;2;Random;0.0
0;25;0;Model;0.0
0;26;0;Model;0.0
0;27;1;Random;0.0
0;28;8;Random;0.0
0;29;9;Random;0.0
0;30;8;Random;0.5
0;31;5;Random;-100.0
0;32;7;Random;-100.0
0;33;9;Model;-100.0
0;34;9;Model;-100.0
0;35;4;Random;-2.5
0;36;3;Random;0.0
0;37;4;Random;3.0
0;38;9;Model;4.0
0;39;8;Random;1.0
0;40;2;Random;1.0
0;41;8;Model;5.0
0;42;7;Random;-5.0
0;43;9;Model;2.0
0;44;9;Model;5.0
0;45;9;Model;3.0
0;46;5;Random;-2.5
0;47;9;Random;0.0
0;48;4;Random;5.0
0;49;4;Random;9.625
0;50;9;Model;4.375
0;51;9;Model;6.125
0;52;9;Model;6.125
0;53;9;Model;6.125
0;54;9;Random;-100.0
0;55;4;Random;-100.0
0;56;9;Model;-100.0
0;57;9;Model;-100.0
0;58;9;Model;-100.0
0;59;8;Random;-100.0
0;60;8;Model;-100.0
1;1;0;Model;0.0
1;2;0;Model;3.0
1;3;0;Model;3.0
1;4;7;Random;4.0
1;5;9;Model;1.0
1;6;6;Random;-4.0
1;7;4;Random;6.125
1;8;5;Random;-7.0
1;9;9;Model;0.0
1;10;9;Model;5.0
1;11;9;Model;3.0
1;12;4;Random;9.625
1;13;9;Model;4.375
1;14;2;Random;-3.5
1;15;9;Model;3.5
1;16;9;Model;7.0
1;17;7;Random;0.875
1;18;9;Model;3.5
1;19;9;Model;7.0
1;20;9;Model;6.125
1;21;1;Random;3.5
1;22;9;Model;7.0
1;23;9;Random;6.125
1;24;9;Model;-100.0
1;25;1;Random;-100.0
1;26;4;Random;-100.0
1;27;3;Model;-100.0
1;28;9;Model;-100.0
1;29;8;Model;-100.0
1;30;6;Model;-100.0
1;31;2;Random;-100.0
1;32;6;Random;7.5
1;33;8;Model;6.0
1;34;4;Random;8.75
1;35;8;Model;9.375
1;36;8;Model;9.375
1;37;8;Model;-100.0
1;38;8;Model;-100.0
1;39;8;Model;-100.0
1;40;2;Model;-100.0
1;41;8;Random;-100.0
1;42;8;Model;-100.0
1;43;0;Random;-100.0
1;44;8;Model;-100.0
1;45;9;Random;-100.0
1;46;3;Random;-100.0
1;47;8;Model;-100.0
1;48;3;Random;-100.0
2;1;2;Random;0.0
2;2;8;Random;4.0
2;3;8;Model;3.0
2;4;8;Model;3.0
2;5;7;Random;-5.0
2;6;8;Model;0.0
2;7;8;Model;5.0
2;8;8;Model;3.0
2;9;9;Random;1.0
2;10;9;Model;4.0
2;11;7;Random;1.0
2;12;2;Random;-3.0
2;13;8;Model;1.0
2;14;4;Random;6.125
2;15;6;Random;0.0
2;16;8;Model;4.375
2;17;4;Random;10.5
2;18;0;Random;-2.25
2;19;4;Random;9.375
2;20;2;Random;5.0
2;21;3;Random;-5.625
2;22;1;Random;5.625
2;23;8;Model;5.625
2;24;7;Random;-6.25
2;25;5;Random;0.0
2;26;8;Model;0.0
2;27;8;Model;0.0
2;28;3;Random;0.0
2;29;6;Random;0.0
2;30;8;Model;5.25
2;31;8;Model;9.0
2;32;3;Random;-4.5
2;33;7;Random;-0.75
2;34;8;Model;0.0
2;35;3;Random;0.75
2;36;8;Model;4.5
2;37;9;Model;5.25
2;38;1;Random;5.25
2;39;0;Random;-5.25
2;40;6;Random;0.0
2;41;7;Random;0.0
2;42;8;Model;0.0
2;43;4;Random;1.875
2;44;6;Random;5.0
2;45;8;Model;5.0
2;46;4;Random;-100.0
2;47;2;Model;-100.0
2;48;8;Model;-100.0
2;49;2;Random;-100.0
2;50;9;Random;-100.0
2;51;9;Random;-100.0
2;52;5;Random;-100.0
2;53;8;Model;-100.0
2;54;6;Random;-100.0
2;55;0;Random;-100.0
2;56;8;Model;-100.0
2;57;5;Random;-100.0
2;58;8;Model;-100.0
2;59;6;Random;-100.0
3;1;6;Random;0.0
3;2;0;Random;2.0
3;3;0;Random;3.0
3;4;4;Random;10.5
3;5;8;Model;-1.75
3;6;8;Model;6.125
3;7;8;Model;7.0
3;8;5;Random;-9.0
3;9;1;Random;0.0
3;10;8;Model;3.0
3;11;9;Model;3.0
3;12;5;Random;-2.0
3;13;5;Random;-100.0
3;14;2;Random;-100.0
3;15;5;Random;-100.0
3;16;0;Random;-100.0
3;17;4;Random;-100.0
3;18;8;Model;-100.0
3;19;5;Random;-100.0
3;20;8;Model;-100.0
3;21;8;Model;-100.0
3;22;3;Random;-100.0
3;23;9;Model;-100.0
3;24;8;Random;-100.0
3;25;5;Random;-100.0
3;26;1;Random;-100.0
4;1;8;Model;0.0
4;2;2;Random;2.0
4;3;8;Model;4.0
4;4;1;Random;2.0
4;5;7;Random;-2.0
4;6;6;Random;0.0
4;7;4;Random;7.0
4;8;3;Random;-3.5
4;9;2;Random;-0.875
4;10;0;Random;4.375
4;11;2;Random;3.5
4;12;8;Model;4.375
4;13;1;Random;1.75
4;14;8;Random;7.875
4;15;4;Random;11.25
4;16;0;Random;-3.75
4;17;1;Random;-1.5
4;18;4;Random;11.875
4;19;3;Random;-3.125
4;20;8;Model;3.125
4;21;1;Random;5.625
4;22;8;Model;10.0
4;23;8;Random;9.375
4;24;4;Random;11.5
4;25;8;Random;8.5
4;26;7;Random;-10.5
4;27;4;Random;-100.0
4;28;8;Model;-100.0
4;29;8;Random;-100.0
4;30;5;Random;-12.5
4;31;1;Random;0.0
4;32;9;Random;5.5
4;33;7;Random;-5.0
4;34;1;Random;0.5
4;35;8;Model;-100.0
4;36;8;Model;-100.0
4;37;8;Model;-100.0
4;38;3;Random;-100.0
4;39;8;Model;-100.0
4;40;2;Random;-100.0
4;41;2;Random;-100.0
4;42;1;Random;-100.0
4;43;8;Model;-100.0
4;44;8;Model;-100.0
4;45;8;Model;-100.0
4;46;5;Random;-100.0
5;1;9;Model;0.0
5;2;8;Random;1.0
5;3;8;Model;4.0
5;4;8;Model;3.0
5;5;2;Random;2.0
5;6;8;Model;4.0
5;7;8;Model;3.0
5;8;8;Model;3.0
5;9;4;Random;9.625
5;10;4;Random;14.25
5;11;7;Random;-3.75
5;12;8;Model;-6.0
5;13;8;Model;9.75
5;14;0;Random;-4.5
5;15;8;Model;4.5
5;16;1;Random;4.5
5;17;8;Model;9.0
5;18;8;Model;8.25
5;19;8;Random;8.25
5;20;8;Model;8.25
5;21;5;Random;-11.375
5;22;8;Model;0.0
5;23;8;Model;-100.0
5;24;8;Random;-100.0
5;25;0;Random;-100.0
5;26;8;Model;-100.0
5;27;3;Random;-100.0
5;28;5;Random;-100.0
5;29;8;Model;-100.0
5;30;7;Random;-100.0
5;31;8;Model;-100.0
5;32;0;Random;-100.0
5;33;4;Random;-100.0
5;34;7;Random;-100.0
5;35;2;Random;-100.0
5;36;7;Random;-100.0
5;37;8;Model;-100.0
5;38;8;Random;-100.0
5;39;8;Model;-100.0
6;1;4;Random;14.0
6;2;9;Model;0.0
6;3;7;Random;0.875
6;4;8;Random;-5.25
6;5;9;Model;5.25
6;6;6;Random;-5.25
6;7;0;Random;0.0
6;8;5;Random;0.0
6;9;9;Model;0.0
6;10;9;Random;0.0
6;11;9;Model;3.0
6;12;6;Random;-3.0
6;13;3;Random;1.0
6;14;1;Random;-1.0
6;15;4;Random;7.875
6;16;9;Model;6.125
6;17;7;Random;0.875
6;18;5;Random;-6.0
6;19;9;Model;0.0
6;20;9;Model;4.0
6;21;9;Model;4.0
6;22;9;Model;3.0
6;23;9;Model;3.0
6;24;9;Model;3.0
6;25;2;Random;-2.0
6;26;8;Model;5.0
6;27;3;Random;-2.0
6;28;9;Random;4.0
6;29;9;Model;4.0
6;30;9;Model;-100.0
6;31;2;Random;4.0
6;32;5;Random;-0.5
6;33;5;Random;-100.0
6;34;1;Random;-100.0
6;35;4;Random;-1.5
6;36;4;Model;0.0
6;37;6;Random;2.0
6;38;4;Random;4.375
6;39;8;Model;7.875
6;40;3;Random;-3.5
6;41;4;Model;-100.0
6;42;1;Random;-100.0
6;43;8;Model;-100.0
6;44;8;Model;-100.0
6;45;8;Model;-100.0
6;46;1;Random;-100.0
6;47;4;Random;-100.0
7;1;2;Random;0.0
7;2;8;Model;4.0
7;3;8;Model;3.0
7;4;8;Random;3.0
7;5;8;Model;3.0
7;6;8;Model;3.0
7;7;3;Random;-2.0
7;8;9;Model;5.0
7;9;9;Model;3.0
7;10;0;Random;-2.0
7;11;8;Random;0.0
7;12;7;Random;-1.0
7;13;8;Model;0.0
7;14;8;Model;5.0
7;15;2;Random;2.0
7;16;5;Random;-1.5
7;17;1;Random;0.0
7;18;0;Random;0.0
7;19;8;Random;0.0
7;20;8;Model;0.5
7;21;0;Random;0.0
7;22;8;Model;0.0
7;23;8;Model;0.0
7;24;8;Model;0.0
7;25;8;Model;0.0
7;26;8;Model;0.0
7;27;1;Random;0.0
7;28;8;Model;0.0
7;29;4;Random;-100.0
7;30;2;Random;-100.0
7;31;7;Random;7.0
7;32;1;Random;-100.0
7;33;3;Random;-100.0
7;34;8;Model;-100.0
7;35;1;Random;-100.0
7;36;0;Random;-100.0
7;37;1;Random;-100.0
7;38;8;Model;-100.0
7;39;7;Random;-100.0
8;1;4;Random;14.0
8;2;6;Random;0.0
8;3;8;Model;0.875
8;4;8;Random;7.0
8;5;0;Random;-3.5
8;6;2;Random;4.375
8;7;8;Random;4.375
8;8;9;Random;0.0
8;9;9;Model;4.375
8;10;8;Random;3.5
8;11;9;Model;3.5
8;12;2;Random;-0.875
8;13;4;Random;8.25
8;14;8;Model;9.0
8;15;4;Random;11.875
8;16;8;Model;8.125
8;17;8;Model;9.375
8;18;8;Random;9.375
8;19;5;Random;-12.75
8;20;0;Random;0.0
8;21;7;Random;0.0
8;22;8;Model;0.0
8;23;8;Model;0.0
8;24;8;Model;5.25
8;25;8;Model;9.0
8;26;9;Random;0.75
8;27;8;Model;4.5
8;28;8;Model;-100.0
8;29;7;Random;0.75
8;30;6;Random;5.25
8;31;2;Random;5.25
8;32;3;Random;-5.25
8;33;4;Random;2.5
8;34;5;Random;-3.0
8;35;8;Model;0.0
8;36;8;Model;-100.0
8;37;7;Random;0.75
8;38;7;Random;0.0
8;39;8;Model;0.0
8;40;2;Random;-100.0
8;41;3;Random;0.75
8;42;8;Random;-100.0
8;43;8;Model;-100.0
8;44;9;Random;-100.0
8;45;5;Random;-100.0
8;46;6;Random;-100.0
8;47;7;Random;0.875
8;48;2;Random;-100.0
8;49;8;Random;-100.0
8;50;8;Random;-100.0
8;51;8;Model;-100.0
9;1;5;Random;-4.0
9;2;4;Model;0.0
9;3;4;Model;14.0
9;4;1;Random;0.0
9;5;9;Model;7.0
9;6;9;Model;6.125
9;7;4;Random;11.25
9;8;9;Model;6.75
9;9;9;Model;8.25
9;10;5;Random;-11.375
9;11;5;Random;0.0
9;12;3;Random;0.0
9;13;9;Model;0.0
9;14;9;Model;3.0
9;15;6;Random;-3.0
9;16;4;Model;1.75
9;17;3;Random;4.375
9;18;7;Random;5.25
9;19;4;Model;8.25
9;20;0;Random;2.25
9;21;0;Random;4.5
9;22;5;Random;-5.25
9;23;9;Random;0.0
9;24;4;Random;5.25
9;25;4;Model;6.875
9;26;8;Random;-0.625
9;27;3;Random;0.0
9;28;7;Random;5.0
9;29;4;Model;-100.0
9;30;4;Model;-100.0
9;31;4;Random;-100.0
9;32;0;Random;-100.0
9;33;4;Model;-100.0
9;34;4;Model;-100.0
